TES POTENSI AKADEMIK,,,,,,,
#,SINONIM,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
#,##,,,,,,
