Matematika,,,,,,,,
#,##,,,,,,,
#,##,Diberikan pernyataan berikut: (~p?~q)?q Kontraposisi dari pernyataan di atas adalah . . . .,~q?(p?q),~q?(p?q),q?(~p?q),q?(p?q),q?(p?q),D
#,##,"Rusuk TA dari bidang empat T.ABC tegak lurus pada bidang alas. TA dan BC masing - masing 12 cm dan 8 cm. Jika P titik tengah TB, Q titik tengah TC, dan R titik tengah AB, dan bidang yang melalui ketiga titik P,Q dan R memotong rusuk AC di S, maka luas PQRS adalah ....",12 cm²,16 cm²,18 cm²,20 cm²,24 cm²,E
#,##,,,,,,,D
#,##,,,,,,,E
#,##,,,,,,,D
#,##,,,,,,,C
#,##,,,,,,,A
#,##,Tono beserta 9 orang temannya bermaksud membentuk suatu tim bola volley terdiri atas 6 orang. Apabila Tono harus menjadi anggota tim tersebut maka banyak tim yang mungkin dibentuk adalah....,126,162,210,216,252,C
#,##,"Suatu sekolah membentuk tim delegasi yang terdiri dari 4 anak kelas I, 5 anak kelas II, dan 6 anak kelas III. Kemudian akan ditentukan pimpinan yang terdiri dari Ketua, Wakil Ketua, dan Sekretaris. Jika kelas asal Ketua harus lebih tinggi dari kelas asal Wakil Ketua dan Sekretaris, maka banyaknya kemungkinan susunan pimpinan adalah . . . .",156,492,546,600,720,B
#,##,"Tiga siswa dan tiga siswi duduk berjajar pada sebuah bangku. Jika yang menempati pinggir bangku harus siswa, maka banyaknya susunan posisi duduk yang mungkin adalah . . . .",6,24,120,144,720,D
#,##,,,,,,,C
#,##,Nilai maksimum dari f(x)=cos2x+4 sinx untuk 0<x<? adalah . . . .,2,3,4,6,8,B
#,##,Fungsi y=cosx-?3  sinx+6 mempunyai nilai . . . .,minimum 4 untuk x=150°,minimum 4 untuk x=150°,maksimum 4 untuk x=300°,maksimum 8 untuk x=210°,maksimum 8 untuk x=300°,E
#,##,"Garis 2x+y-6=0 memotong sebuah garis x-2y-3=0 di titik A. Jika B(0,1) dan C(2,3), maka persamaan garis yang melalui A dan tegak lurus BC adalah . . . .",y-x-3=0,y+x+3=0,y+x-3=0,y+x+1=0,y-x-1=0,C
#,##,Persamaan garis singgung pada kurva y=x+3/x di titik yang absisnya 1 adalah . . . .,2x-y+2=0,2x+y-6=0,4x-y=0,-2x+y-2=0,-4x-y+6=0,B
#,##,"Jika a dan b berturut - turut merupakan sudut lancip yang dibentuk oleh sumbu - x dengan garis singgung kurva y=x²-4x-5 di titik dengan absis -1 dan 3, maka tan(b-a)= . . . .",-0.307692308,13-Apr,-0.727272727,11-Aug,11-Apr,A
#,##,"Suatu garis menyinggung kurva y=x³+3x²-2x-5 di titik T(1,-3). Persamaan garis singgung tersebut adalah . . . .",y=5x-7,y=5x-10,y=5x-3,y=7x-5,y=7x-10,
#,##,"Persamaan garis singgung pada kurva y=ax³-2x² di titik (1,a-2 ) dan tegak lurus garis x+2y=4 adalah . . . .",y=-2x+2,y=-2x+1,y=-2x-2,y=2x-2,y=2x+2,D
#,##,Suatu lingkaran berpusat pada titik potong garis x-y-1=0 dan garis x+y-3=0 serta menyinggung garis 3x+4y-35=0. Persamaan lingkaran tersebut adalah . . . .,x²+y²-4x-2y-20=0,x²+y²-2x-y-20=0,x²+y²-4x+2y-20=0,x²+y²-2x+y+20=0,x²+y²-4x+2y+20=0,A
#,##,"Pembagian f(x) dengan x - 1 sisanya 2 dan jika dibagi dengan x²-x-2 sisanya 2x-1. Apabila f(x) dibagi x²-3x+2, maka sisanya adalah . . . .",x-1,1-x,x+1,2x-1,2x+1,C
#,##,,,,,,,A
#,##,,,,,,,B
#,##,,,,,,,A
#,##,,,,,,,C
#,##,,,,,,,B
#,##,,,,,,,D
#,##,,,,,,,C
#,##,,,,,,,D
#,##,,,,,,,D
#,##,"Titik - titik A(-3 ,9),B(-2,4),C(2,4), dan D(3,9) terletak pada parabola y=x², serta garis AC dan BD berpotongan di titik P. Jumlah luas daerah PAB dan daerah PCD adalah . . .",12,12 1/3,15,18,10 2/3,B
#,##,,,,,,,D
#,##,,,,,,,D
#,##,,,,,,,D
#,##,"Jika vektor a ? dan vektor b ? membentuk sudut 60°. |a ? |=5 dan |b ? |=4, maka a ?(a ?-b ? )= . . . .",6,8,10,12,15,E
#,##,"Diketahui vektor u ?=2i ?-2j ?-k ?, v ?=3i ?-j ?+2k ?, dan w ?=i ?-2k ?. Panjang proyeksi vektor v ?+w ? pada vektor u ?= . . . .",3-Apr,3-May,3-Jul,3-Aug,3-Oct,E
#,##,"Garis melaluli A(3,6,7) dan B(5,3,8), sedangkan garis h melalui C(-2,,4,2) dan D(-1,6,-1). Besar sudut antara g dan h adalah . . . .",0°,30°,45°,60°,90°,D
#,##,Diketahui vektor - vektor u ?=2i ?-j ?+2k ? dan v ?=4i ?+10j ?-8k ?. Vektor u ?+v ? akan tegak lurus pada vektor u ? jika c= . . . .,1,- 2,-0.5,2-Jan,- 1 ,D
#,##,,,,,,,E
#,##,,,,,,,C
#,##,Jumlah suku deret geometri tak hingga adalah 6 dan jumlah dari suku-suku yang bernomor ganjil adalah 4. Suku ke 5 deret tersebut adalah . . . .,1/8/2013,3/16/2013,1/4/2013,5/16/2013,3/8/2013,B
#,##,,,,,,,E
#,##,,,,,,,E
#,##,,,,,,,C
#,##,,,,,,,B
#,##,,,,,,,E
Bahasa Inggris,,,,,,,,
#,,,,,,,,
#,##,The train arrived after the students .... For 3 hours in Gambir station.,Wait,Will wait,Has waited,Had been waiting,Has been waiting,D
#,##,"Mr Ichsan : Can you call me up at 3 o’clock tomorrow? Imam : Sorry I can’t because at the time, I .... English.",Teach,Teaches,Taught,Will teach,Will be teaching,E
#,##,"Because of the economic crisis, tourism in Indonesia .... since 2 years ago.",Will decine,Declines,Declined,Has been declining,Was declining,D
#,##,Listen! I think somebody .... At the door.,Knocks,Has knocked,Is knocking,Are knocking,Will knock,C
#,##,Satria thinks that 200 kilometers .... Far for him.,Are,Are not,Is not,It is,It is not,C
#,##,"Rahmat, Asti and I overslept last night, and this made .... Come late to the meeting.",They,We,Them,Us,You,D
#,##,The English score of the students needs .... Tomorrow.,To be announced,Be announced,Being announced,To announce,For announced,A
#,##,Ms Yosi is very happy today because she .... To Area Manager,Be promoted,Being promoted,Has promoted,Have been promoted,Has been promoted,E
#,##,The teacher made lilies .... The room,Leave,Leaving,To leave,Left,To have left,A
#,##,"Febi : Hi Derin, I Like your garden very much. It is very beautiful. Do you take care of it yourself? Derin : No, .... Twice a week",I tidy it myself,I have tidied it,I have it tidy,I have it tidied,I have to tidy it,D
#,##,"When the traffic light is green, we .... Continue driving.",Can,May not,Should not,Had to,Ought to not,A
#,##,"Being very tired after working the whole day, I .... At home than go to the movie.",Had better stay,Should stay,Would rather stay,Ought to stay,May stay,C
#,##,We wouldn’t have missed the bus if we .... Earlier.,Go,Went,Have gone,Had gone,Would go,D
#,##,"If I .... Earlier, I .... Play tennis.",Wake up - could,Woke up - can,Wake up - can,Will wake up - could,Waken up - can,C
#,##,I wish I.... as good as Mrs Elli Yuniarti,Am,Was,Were,Will be,Can be,C
#,##,"I wish I had  time to go. In fact, I .... To go",Had time,Didn’t have time,Don’t have time,Wouldn’t have time,Could have time,C
#,##,"At BSAM company, Moko and Aldi .... Make a report than read a newspaper.",Would like,Would rather,Prefer,Like,Don’t like,B
#,##,"Usually, Mrs Elli Yuniarti likes .... Better than to the mountain.",Going to the beach,Go to the beach,Went to the beach,To go to the beach,Has gone to the beach,A
#,##,.... A new language can be very interesting.,Learn,Learned,Learning,To learning,To be learning,C
#,##,She is fond ....,To swim,Swimming,For swimming,Of swimming,Swam,D
#,##,The teenagers gathered outside the hotel just .... The signature of their idol.,Getting,Get,Got,Gets,To get,E
#,##,"Because this chemistry book is difficult to understand, I’d better .... It.",To translate,Be translate,Translating,Translate,Translates,D
#,##,".... Money for 2 years, my sister, Sofrida, could go to Mecca for haj.",After being saved,Having been saved,Having saved,She saves,Have saved,C
#,##,The job .... Economics and statistic needs foreign experts.,Involved,Involve,Involving,Be involving,Has involved,C
#,##,My parents advised my sister .... Too much money on clothes.,Do not spend,Not to spend,Did not spend,Not spending,Not spend,B
#,##,I haven’t met Solihin for a long time. I don’t know ....,Where does he live now.,Where he lived now.,Where he lives now.,Where did he live now.,Where can he live now.,C
#,##,"The books in the library, .... Are about English literature, are put on the shelves.",Most of whom,Some of whom,Most of which,In which,For which,C
#,##,"Yesterday, I was introduced to the woman .... In front of my house.",That live,Who have lived,Lives,Who lived,She lives,D
#,##,.... A good singer is known by all of us.,If Titi DJ is,That Titi DJ is,Is that Titi DJ,Why is Titi DJ,Titi DJ is,B
#,##,Sarjana hoped .... This year.,Would he get married,Why he get married,Where did he get married,That he would get married,That would he get married,D
#,##,Many jobless people can’t get the job in Jakarta because ....,They need money,They like Monas,They are skilled,They are unskilled,They are teachers,D
#,##,Ikara would come ....,If we invite her,If we have invited her,If we invited her,If we were inviting her,If we have been inviting her,C
#,##,Mr Muslimin talked to the woman .... He were a child.,As,If,As if,Consequently,This,C
#,##,"The father has to work hard looking for money; ...., he can’t send his shildren to school.",Consequently,Besides,Whereas,Otherwise,Furthermore,D
#,##,The .... Of the play will be displayed in Museum Gajah tomorrow.,Manuscript writing-hand original,Original writing-hand manuscript ,Writing-hand manuscript  original,Original written-hand manuscript,Original hand-written manuscript,E
#,##,We collect many ....,"Small, new, square, wooden, tables.","Small, square, new, wooden tables.","New, small, square, wooden tables","Wooden, small, new, square tables.","Square, wooden, small, new tables.",A
#,##,"If you want to go to Bandung, you can take ....",Either the train and the bus,Neither the train or the bus,Not only the train and the bus,Not only the train but also the bus,Both the train or the bus,D
#,##,"If I forget, please remind me .... And to give a daily exercise on writing.",Explaining Tenses,That I explain Tenses,To explain Tenses,Whether I explain Tenses,For explaining Tenses,C
#,##,My Mother is very ....,Economic,Economical,Economy,Economist,Economics,B
#,##,Mr Zaki is a job ....,Application,Apply,Applicable,Applicant,Applying,D
#,##,Can the government ban smoking?,Allow,Legalized,Forbid,Furnish,Educate,C
#,##,"At 12 o’clock, the employees will be dismissed to have lunch in the cafeteria. The opposite of dismissed is ....",Accepted,Rejected,Terminated,Gathered,Appreciated,D
#,##,Heavy air pollution is dangerous for our health. The opposite of heavy is ....,Spoiled,Broken,Fragile,Professional,Light,E
#,##,Cattle and poultry must be nourished on grain.,Fed,Polluted,Provided,Added,Chosen,A
#,##,Ultraviolet light is the invisible part of spectrum beyond violet. The underlined word means the part that ....,Can be heard,Can’t be heard,Can be seen,Can’t be seen,Can be touched,D
#,##,Pollution is hazardous for us,Successful,Sufficient,Dangerous,Isolated,Silly,C
#,##,Many countries have the problem because they lack the adequate supply of fuel.,Enough,Widespread,Decayed,Inactive,Necessary,A
#,##,The political situation in Indonesia is now deteriorating.,Becoming better,Becoming worse,Becoming halted,Becoming active,Becoming rare,B
#,##,Dinosaurs are now .... From the earth.,Distinct,Extinct,Evident,Recent,Huge,B
#,##,"STM, SMA, SMIP are example of .... Education",Unemployed,Regular,Amazing,Strict,Vocational,E
#,TEXT 24,"Sequoyah was a young Cherokee Indian, the son of a white trader and an Indian woman. At an early age, he became amazed by “the talking leaf,” an expression he used to describe the white man’s writte records. Although many people believed this “talking leaf” to be apresent from the Great Spirit, Sequoyah rejected to accept that theory. Like other Indians of the period, he was illiterate, but his determination to cure the situation led to the invention of a unique 86-character alphabet based on the sound patterns he heard. His family and friends thought him crazy, but while recuperating from a hunting accident, he independently set out to create a from of communication for his own people as well as for other Indians. In 1821, after twelve years of work, he had successfully developed a written language enabling thousands of Indians to read and write. Sequoyah’s intention to preserve words and events for later generations has caused him to be remembered among the important inventors. The giant redwood trees of California, called “sequoias” in his honor, will further imprint his name in history.",,,,,,
#,##,What is  the most important reason that Sequoyah will be remembered?,California redwoods were named in his honor,He was illiterate,He created a unique alphabet,He recovered from his madness and helped mankind.,He was mad,C
#,##,How did Sequoyah’s family react to his idea of developing his own “talking leaf”?,The arranged for his hunting accident,They thought he was crazy,They decided to help him,They asked him to teach them to read and write,They were excited,B
#,##,What promted Sequoyah to develop his alphabet?,People were writing things about him that he couldn’t read,He wanted to become popular,"After his hunting accident, he needed something to keep him busy",He liked alphabet,He wanted the history of his people preserved for future generations,E
#,##,The word illiterate means most nearly ....,Poor,Sad,Abandoned,Able to read and write,Unable to read an write,E
#,##,How would you describe Sequoyah?,Determined,Mad,Backwards,Cheerful,Healthy,A
#,TEXT 28,"For many years, people believed that the cleverest animals after man were the chimpanzees. Now, however, there is an evidence that dolphins may be even cleverer than these big apes. Although a dolphin lives in the sea, it is not a fish. It is a mammal. In many ways, it is like a human being. Dolphins have a simple language. They can talk to one another. It may be possible for man to learn how to talk to dolphins, but this will not be easy because dolphins cannot hear the kind of sounds man makes. If man wants to talk to dolphins, he will have to make the third language which both he and the dolphins can understand. Dolphins are very friendly toward man. They often follow ships. Ther are stories about dolphins guiding ships through difficult and dangerous waters.",,,,,,
#,##,The text tells us about ....,Fish,Dolphins,Big apes,Mammals,Chimpanzess,B
#,##,The fourth paragraph tells us ....,How dolphins help man,How man help dolphin,How friendly man to dolphins,How diligent the dolphins are,How difficult the problem faced by dolphins,A
#,##,Which statement is TRUE?,Dolphins are fish,Dolphins are kind-hearted animals,Dolphins’ sense of hearing is very sharp,Dolphins are not the cleverest animals in the world,The big apes are regarded as the most intelligent animals,B
#,##,The text above is in the form of ....,Anecdote,Report,Recount,Procedure,Narration,B
#,##,"To tell the factual information, the writer mostly uses ....",Passive Voice,Simple Past Tense,Present Perfect Tense,Simple Present Tense,Present Continuous Tense,D
Pengetahuan Umum,,,,,,,,
#,##,,,,,,,
#,##,Simbol modernitas dan martir demokrasi Pakistan adalah ...,Zulfiqar Ali Bhutto,Benazir Bhutto,Nawaz Sharif,Pervez Musharraf,Yousaf Raza Gillani,B
#,##,Penerima hadiah Nobel bidang Kimia tahun 2009 adalah ...,"Venki ramakrishnan, Thomas A, Steitz, dan Ada E. Yonath","Osamu Shimomura, Martin Chalfie, dan Roger Yonchine Tsien",Gerhard Ertl,Roger David Kornberg,Ahmed Hassan Zewail,A
#,##,Penerima hadiah Nobel di bidang perdamaian di tahun 2008 adalah ...,Martti Oiva Kalevi Ahtisaari (Finlandia),Muhammad Yunus (Bangladesh),Albert Arnold Gore (Amerika Serikat),Mohamed El Baradei (Mesir),Wangari Muta Maathai (Kenya),A
#,##,Konferensi Perubahan Iklim (7 - 11 Desember 2009) yang diselenggarakan oleh PBB berlangsung di ....,Norwegia,Denmark,Belanda,Swedia,Finlandia ,B
#,##,Fauna khas dari provinsi Sulawesi Tengah adalah ....,Anoa,Rangkong,Maleo,Tarsius,Nuri Raja,C
#,##,Orang Indonesia yang meraih pertama kali Medali Olimpiade adalah ....,Chris John,Ellyas Pical,Susi Susanti,Alan Budi Kusuma,Yayuk Basuki,C
#,##,"Dalam SEA Games 009 di Laos, Indonesia memperoleh medali sebanyak 170 dan menempatkan Indonesia berada di urutan ....",Pertama  ,Kedua,ketiga,Keempat,Kelima,C
#,##,"dalam pertandingan final Liga Champions tahun 2008/2009, kesebelasan Manchester United dikalahkan oleh ....",Chelsea,AC Milan,FC Barcelona,FC Porto,Bayern Munchen,C
#,##,Sepakbola Piala Dunia 2010 akan diselengarakan di ....,Brasil,Inggris,Afrika Selatan,Amerika Serikat,German,C
#,##,"Dalam pemilihan Miss Universe 2009, Dayana Mendoza dari Venezuela menyerahkan mahkotanya di Nassau Bahama kepada ....",Jing Yao Wang,Diana Broce,Chutima Durongdej,Stefania Fernandez,Marigona Dragusha,D
#,##,"Aktris dan produser film Indonesia yang menjadi salah satu anggota Dewan Juri Festival Film Internasional Cannes (FFIC) ke-55 di Perancis, 15 - 26 Mei 2002 adalah ....",Teguh Karya,Garin Nugroho,Jajang C. Noer,Christine Hakim,El Manik,D
#,##,Lagu daerah Anak Kambing Saya berasal dari ....,Jawa Barat,Jawa Timur,Nusa Tenggara Barat,Nusa Tenggara Timur,Jawa Tengah,D
#,##,Siapakah pejuang HAM yang telah lama berjuang di Papua mendapat anugrah Yap Thian Hien pada tahun 2009?,Kelly Kwalik,Yohanes Jonga,Barnabas Sueba,Agus Alue Alea,Annike,B
#,##,Hari Anti Korupsi Internasional setiap tahun jatuh pada tanggal ....,10 Desember,9 Desember,9-Nov,10-Sep,19 Desember,B
#,##,Gedung tertinggi di dunia saat ini adalah ....,Menara Petronas di Kuala Lumpur,Burj di Dubai,Sears Tower di Chicago,1 World Trade di New York,Taipe 101 di Taipe,B
#,##,"Pasca kemenangan pasangan Susilo Bambang Yudoyono dan Budiono, KADIN Indonesia bekerja sama dengan pemerintah mengadakan National Summit pada 29 - 30 Oktober 2009 dengan peserta, kecuali .... ",Tokoh masyarakat atau Pemuka Agama,Bupati/Walikota,Gubernur,Menteri,Kepala Badan Usaha Milik Negara (BUMN),A
#,##,"Pada pemilu 1990 partai pro-demokrasi pimpinan Aung San Suu Kyi memenangi 82 persen suara, namun hasil pemilu ini tidak diakui rezim militer yang dipimpin oleh Jenderal ....",Thein Sein,Soe Win,Than Shwe,Ibrahim Gambari,Shan,C
#,##,Unsure pimpinan MPR RI 2009 - 2014 yang berasal dari DPD adalah ....,Taufik Kiemas,Hajrianto Tohari,Ahmad Farhan Namid,Melani Leimeina Suharli,Lukman Hakim Saefuddin,C
#,##,"Pasca keluarnya Keppres pengaktifan kembali Bibit Samad Rianto dan Chandra Hamzah, maka dua ketua KPK yang menyerahkan jabatannya kepada Bibit dan Chandra adalah ....",Tumpak Hatorangan Panggabean dan Achmad Santosa,Teten Masduki dan Waluyo,Achmad Santosa dan Waluyo,Yasin dan Achmad Santosa,Tumpak Hatorangan Panggabean dan Waluyo,C
#,##,Rival utama Barack Obama dalam perebutan calon Presiden dari Partai Demokrat adalah ....,Bill Clinton,Al Gore,George Bush,Hilary Clinton,John Me Cain,D
#,##,Presiden India dari golongan perempuan adalah ....,Sonia Gandhi,Pratibha Patil,Indra Gandhi,Shashank Rohatgi,Payal Rohatgi,B
#,##,Penerima hadiah Nobel bidang Ekonomi tahun 2009 adalah ....,Elinor Ostrom dan Oliver E. Williamson,Paul Krugman,Edmund Phelps,Joseph E. Stiglitz,Finn E. Kydland dan Edward C. Prescott,A
#,##,Penerima hadiah Nobel bidang perdamaian (usaha yang luar biasa untuk memperkuat diplomasi internasional dan kerjasama antar bangsa) adalah ....,Martti Oiva Kalevi Ahtisaari (Finlandia),Obama (Amerika Serikat),Muhammad Yunus (Bangladesh),Albert Arnold Gore (Amerika Serikat),Mohamed El Baradei (Mesir),B
#,##,"Gempa bumi di Padang, Sumatera Barat berkekuatan ,6 SR terjadi pada tanggal ....",27-Sep-09,28-Sep-09,29-Sep-09,30-Sep-09,1 Oktober 2009,D
#,##,Beruang madu merupakan salah satu fauna khas yang berasal dari Provinsi ....,Sumatera Barat,Sumatera Selatan,Bengkulu,Lampung,Sulawesi Utara,C
#,##,Pemain sepakbola terbaik dunia versi FIFA tahun 2009 adalah ....,Christiano Ronaldo,Lionel Messi,Kaka,Xabi Alonso,Wayne Rooney,B
#,##,Final sepakbola Piala Dunia antar klub 2009 yang dimenangkan oleh Barcelona berlangsung di ....,Argentina,Spanyol,Uni Emirat Arab,Korea,Syria,C
#,##,Manusia tercepat di Asia Tenggara 2009 adalah ....,Mardi Lestari,Suryo Agung Wibowo,Adriansah,Usain Bolt,W. Punsoongneun,B
#,##,Pemain sepakbola yang memperoleh Gelar Ballon d’Or tahun 2009 adalah ....,Lionel Messi,Christiano Ronaldo,David Beckham,Ronaldinho,Kaka’,A
#,##,Gelar Putri Indonesia 2009 diraih oleh ....,Qory Sandioriva,"Zukhriatul Hafizah, S.Si",Sarinah Aria Putri,"Natalie Pertiwi Hermanto, B.A",Coreana Agashi,A
#,##,Penetapan Batik sebagai Warisan Budaya (UNESCO representative list of intangible cultural heritage of humanity) berlangsung di ....,"Kuwait, 28 Sep - 1 Okt 2009","Uni Emirat Arab, 28 September - 2 Oktober 2009","London, 28 Sep - Okt 2009","Kairo, 29 Sep - 2 Okt 2009","New York, 30 Sep - 2 Okt 2009",B
#,##,"Dalam pemilihan Miss World 2009 di Afrika Selatan, terpilih ratu sejagat baru bernama Kaiane Aldorino yang berasal dari ....",Meksiko,Puerto Rico,Gibraltar,Perancis,Afrika Selatan,C
#,##,Lagu daerah Injit-injit Semut berasal dari ....,Lampung,Sumatera barat,Jambi,Jawa tengah,Kalimantan Selatan,C
#,##,Penghentian proses kasus Bibit Samad Rianto dan Chandra Hamzah dilakukan melalui ....,Surat Keputusan Penghentian Penyelidikan Perkara )SKP3),Surat Ketetapan Penghentian Penuntutan (SKP2),Surat Keputusan Penghentian Penuntutan (SKP2),Surat Ketetapan Penghentian Penuntutan Perkara (SKP3),Keputusan Presiden (Keppres),B
#,##,Mata uang Negara Republik Rakyat Cina adalah ....,Yuan,Peso,Dolar,Won,Bath,A
#,##,"Untuk mengungkap Skandal Bank Century 2009, maka untuk pertama kali Hak Angket didukung oleh semua fraksi secara alamasi. Ketua pansus Skandal Bank Century adalah Idrus Marham yang berasal dari partai ....",Democrat,PDI Perjuangan,Golkar,PKS,PAN,C
#,##,Provinsi termuda di Indonesia adalah ....,Sulawesi Barat,Bangka Belitung,Riau Kepulauan,Papua Barat,Maluku Utara,A
#,##,Perdana Menteri Jepang yang berasal dari Partai Oposisi setelah lebih dari 50 tahun Jepang dipimpin dari Partai Demokrat Liberal adalah ....,Taro Aso,Yukio Hatoyama,Yasuo Fukuda,Shinzo Abe,Junichiro Koizumi,B
#,##,Asian Parliamentary Assembly (APA) ke empat tahun 2009 brlangsung di ...,Gedung Juang 45 Jakarta,Gedung DPR/MPR Jakarta,Gedung Merdeka Bandung,Gedung JCC Jakarta,Gelora Bung Karno Jakarta,C
#,##,Diantara nama-nama berikut yang bukan staf khusus Presiden Indonesia Susilo Bambang Yudhoyono periode 2009 - 2014 adalah ....,Daniel Sparingga,Heru Lelono,Deny Indrayana,Kajung Marijan,Julian Pasha,D
#,##,Anggota Kabinet Bersatu Jilid II yang dilantik 22 Oktober 2009 yang menggambarkan keterwakilan dari Aceh Nangroe Aceh Darussalam adalah ....,Syarifudin Hasan,Salim Segaf Al Jufri,Mustafa Abubakar,Suharso Manoarfa,Darwin Saleh,C
#,##,Penerima hadiah Nobel bidang Bahasa dan Sastra tahun 2009 adalah ....,Harold Pinter,Ferit Orhan Pamuk,Doris Lessing,Jean-marie Gustave Le Clezio,Herta Nuller,E
#,##,Penerima hadiah Nobel bidang kedokteran tahun 2009 adalah ....,"Carol W. Greider, Elizabeth Blackburn, dan Jack W. Szostak","Harald zur Hausen, Francoise Barre-Sinoussi dan Luc Montagnier","Mario Capecchi, Martin Evans, dan Oliver Smithies",Andrew Fire dan Craig C. Mello,"Oliver Smithies, Andrew Fire dan Craig C. Mello",A
#,##,Organisasi lingkungan hidup yang aktif melakukan protes terhadap deforestasi adalah ....,WWF,Greenpeace,WHO,FAO,OPEC,B
#,##,Ayam bekisar merupakan salah satu fauna khas yang berasal dari provinsi ....,Jawa Barat,Jawa Tengah,Yogyakarta,Jawa Timur,Bali ,D
#,##,Petinju Indonesia Christian Johannes (Chris John) merupakan orang ketiga yang meraih gelar juara tinju dunia dari Indonesia. Lawan tanding ulang Chris John dalam perebutan gelar di akhir 2009 adalah ....,Juan Manuel Marques,Renan Acosta,Jose Cheo Rojas,Ricardo Rocky Juarez,Roinet Caballero,D
#,##,Jumlah Medali Emas yang diperoleh Kontingen Indonesia dalam SEA Games 2009 di Laos sebanyak ....,38,40,43,83,86,C
#,##,"Atlet angkat besi asal Indonesia yang sukses meebut medali emas dalam Kejuaraan Dunia Angkat Besi 2009 di Kota Goyang, Korea Selatan adalah ....",Rumawas,Eko Yuli Irawan,Ni Luh Sinta Damayanti,Lisa Rumbewas,Joko Suprianto,B
#,##,Miss Indonesia 2009 diberikan kepada ....,Thirzza,Nadya,Karenina Sunny Halim,Leida,Vivane,C
#,##,"Film terbaik dalam Festival Film Asia Fasifik ke-53 di Kaoshiung, Taiwan adalah ....",Jamila,At Stake,Laskar Pelangi,Hungry is The Tiger,Perempuan Berkalung Sorban,C
#,##,"Festival Film Indonesia 2009, pemeran pria terbaik diberikan kepada ....",Sophan Sopian,Ari Wibowo,Tio Pakusadewo,Aria Kusumadewa,Reza rahardian,C
#,##,Tarian adat yang berasal dari Kalimantan Barat adalah ....,Tari monong,Tari Baksa Kembang,Tari Sedati,Tari Serampang Dua Belas,Tari paying,A
#,##,UU NO. 23 Tahun 2004 adalah tentang ....,Perlindungan anak,Kejahatan Dalam Rumah Tangga,Perkawinan,Pengadilan HAM,Pers,B
#,##,Anggota Tim 8 yang dibentuk Presiden Susilo Bambang Yudhoyono dalam kasus Bibit Samad Rianto dan Chandra Hamzah yang tidak berlatar belakang hukum adalah ....,Todung Mulya Lubis,Deny Indrayana,Hikmahanto Juwana,Amir Syarifudin,Anis Basweda,E
#,##,Negara yang paling kecil korupsinya di dunia adalah ....,Amerika Serikat,Finlandia ,Denmark,Jerman,Inggris,B
